,Titles,Companies,Locations,Links,Ratings,Salaries,Descriptions,Urgent Hiring,time,date
196,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Preferably within a digital business.
As part of the analyst for the corporate office and the data product team you will be working on problem statements of…",none,20:51:07,21-01-11
197,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,The candidate should have engineering background with 3-6 years of experience as a business analyst / pre-sales consultant in IT industry.,none,20:51:08,21-01-11
198,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year"," Working alongside founders to establish and prioritize business information needs.
We will rely on you to build data products to extract valuable business…",Urgently hiring,20:51:08,21-01-11
199,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Should know Writing User Stories, documenting cases, test cases, functional testing,.
Required Knowledge, Skills, and Abilities.",none,20:51:08,21-01-11
200,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Complete all mandatory training,certifications as per the requirement of the business (Both customer and cognizant).
Team Lead|Team Manager.",none,20:51:08,21-01-11
201,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","You can work well in teams and can communicated effectively both with internal teams and clients if necessary.
You will be responsible for :",none,20:51:08,21-01-11
202,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"MBA or advanced degree in supply chain, business or engineering.
The Amazon EU Inbound Supply Chain team is looking for an exceptionally bright, talented, and…",none,20:51:08,21-01-11
203,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Using SQL data queries, help answer specific business questions by writing a clear, usable project plan and executing with minimal guidance.",none,20:51:09,21-01-11
204,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Founded in 2000, our business.
Markets, and competition at the rapid pace that the digital business world demands.
Sorry, no telephone calls please.",none,20:51:09,21-01-11
205,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Alternatively the candidate is from bank operations side who is completely aware of the processes (origination to closure), workflow, checks, business rules etc…",none,20:51:09,21-01-11
206,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Proven working experience as a business data analyst.
Build a robust understanding of the customer business focused towards opportunities to improve customers…",none,20:51:09,21-01-11
207,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"With 506,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create…",none,20:51:09,21-01-11
208,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Help the development team & QA team understand the business requirements.
Familiarity with the business processes of at least one of the verticals like…",none,20:51:09,21-01-11
209,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"We build talented and diverse teams to drive business results and encourage our people to develop to their full potential.
What we'll offer you.",none,20:51:09,21-01-11
210,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"With 506,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create…",none,20:51:10,21-01-11
211,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success.,none,20:51:10,21-01-11
212,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Analyze business data, identify key metrics trends & opportunities for business development.
Translate business requirements into functional requirements.",none,20:51:10,21-01-11
213,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Able to formalize business requirements, ready for two way communication business communications up and technical communications down.
4-6 yrs of IT experience.",Urgently hiring,20:51:10,21-01-11
214,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Provides shared service support for various News Corp Companies with the focus on the Indian business units.
Handles administration and support of the existing…",none,20:51:10,21-01-11
215,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"We build talented and diverse teams to drive business results and encourage our people to develop to their full potential.
What we’ll offer you:",none,20:51:10,21-01-11
216,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Generate Research Reports, Company Profiles, Business Analysis.
Building, Analyzing and Updating Financial Models.
Analyzing company's financial data.",none,20:51:11,21-01-11
217,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Experience in data collection and business research would be an advantage.
Perform root-cause analysis if data issues are identified.",none,20:51:11,21-01-11
218,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"Data gathering and quantitative and qualitative data analysis, including business process metrics and measures linking to business KPIs.",none,20:51:11,21-01-11
219,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow.",none,20:51:11,21-01-11
220,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","Excellent problem solving and analytical skills - ability to develop hypotheses, understand and interpret data within the context of the product / business -…",none,20:51:11,21-01-11
221,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,Ability to identify discrepancies/issues in local implementation of corporate labels and contact the affiliates (if appropriate) for remediation actions.,none,20:51:11,21-01-11
222,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Design, develop and implement data science and business analytics models for problem solving.
Discuss with the Research Director, faculty mentor, industry…",none,20:51:11,21-01-11
223,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Good knowledge of SSIS (Not mandatory if the candidate has SQL & Big Data skills).
Ability to make business conclusions from data, connect scenarios & provide…",none,20:51:12,21-01-11
224,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Assist management with identifying new business expansion opportunities.
Work with management to prioritize business and information needs.",none,20:51:12,21-01-11
225,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,Must Have Skills : SAP BusinessObjects Business Intelligence Good To Have Skills : Job Requirements : Key Responsibilities: a WEBI reports generation and…,none,20:51:12,21-01-11
226,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,The candidate needs to be able to work independently with IT and business groups and our validation services teams to get and keep projects moving along.,none,20:51:12,21-01-11
227,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Validate data entered by external business partner,.
Good people and customer handling skills.
We are looking for some who should be open to work in any shift…",none,20:51:12,21-01-11
228,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services necessary for AI applications that…",Urgently hiring,20:51:12,21-01-11
229,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its…",none,20:51:13,21-01-11
230,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Work with management to prioritize business and information needs.
Interpret data, analyze results using statistical techniques and provide ongoing reports.",none,20:51:13,21-01-11
231,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Strong understanding of financial concepts and business analysis.
Strong understanding of Indian corporate/ BFSI sectors and the general economic & business…",none,20:51:13,21-01-11
232,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Work with management to prioritize business and information needs.
The successful candidate will turn data into information, information into insight and…",none,20:51:13,21-01-11
233,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"While they continue to invest aggressively in its India centric mobile games, it is also diversifying its business by investing in the international gaming and…",none,20:51:13,21-01-11
234,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"As an analyst, what do you recommend?
As an analyst, do you think that makes sense?
As the analyst, what do you think we should do to involve the remaining 50% …",none,20:51:13,21-01-11
235,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year",The candidate should have engineering background with 3-6 years of experience as a business analyst / pre-sales consultant in IT industry.,none,20:51:14,21-01-11
236,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Develop models for cost estimates and what-if analysis to support resource requirement decisions.
Provide business intelligence, data analytics, metrics, and…",none,20:51:14,21-01-11
237,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Communicate with business leaders, financial officers and market representatives.
Advise businesses to buy or sell products based on market insights.",none,20:51:14,21-01-11
238,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"We are energized by over 150 years of bringing people together with the food they love.
In a world that’s ever-changing, we look to stay ahead and seek people…",none,20:51:14,21-01-11
239,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Ability to work with business analysts, development managers, architects, infrastructure, and other developers to analyse business requirements, propose…",none,20:51:14,21-01-11
240,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,Must have a minimum of 6-8 years of experience as sales operations / business analyst experience in the healthcare industry.,none,20:51:14,21-01-11
241,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Also responsible for augmentation of network capacity to meet growing customer needs, new technology introduction, or increasing operational efficiencies, with…",none,20:51:15,21-01-11
242,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Flexible mindset, with the ability to shift focus, multi-task, and prioritize in a rapidly changing and sometimes unpredictable environment.",none,20:51:15,21-01-11
243,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Exposure to SSAS and other OLAP tools/ MDX, DAX multi-dimensional reports.
Occasionally meet with the business to gather requirements and wear the Business…",Urgently hiring,20:51:15,21-01-11
244,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Preferably within a digital business.
As part of the analyst for the corporate office and the data product team you will be working on problem statements of…",none,20:51:15,21-01-11
245,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"Experience in documenting business requirements (BRD), reviewing and/or preparing functional specifications.
Lead Consultant – Ledger Business Analyst.",none,20:51:15,21-01-11
246,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe.",none,20:51:15,21-01-11
247,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Collaborates with end users and business analysts in the design and development of custom.
Business Intelligence (BI) dashboards, metrics and reports.",none,20:51:15,21-01-11
248,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,"12-14 years of relevant experience as a business analyst, product manager or similar in a technical environment.
Works to mitigate all the scope related risks..",none,20:51:16,21-01-11
249,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Develops SSIS packages to automate existing reporting and business processes.
Administer and manage Power BI Premium capacity.",none,20:51:16,21-01-11
250,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year","It counts over 2 million small businesses across 18 cities and towns as its customers.
Our client is an innovative Fintech company that is revolutionizing the…",none,20:51:16,21-01-11
251,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Assess loan worthiness and review financial statements.
Configure financial data and documents in the ERP system.
Generate final agreements for execution.",none,20:51:16,21-01-11
252,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"5+ years Business Intelligence / Analytics experience.
Experience in all phases of IT project implementation & different project methodologies – Waterfall &…",none,20:51:16,21-01-11
253,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Good people and customer handling skills.
We are looking for some who should be open to work in any shift as per the business requirement.",none,20:51:16,21-01-11
254,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"Translates business information needs into Functional requirements and writes Functional Specifications, and obtains business sign-off.",none,20:51:17,21-01-11
255,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Ability to multi-task and handle a high volume of work.
Global Financial Crimes is responsible for the development and governance of the Firm’s financial crime…",none,20:51:17,21-01-11
256,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"You will be comfortable working as part of a multi-disciplinary team, where you operate collaboratively with clients to help them digitize their business…",none,20:51:17,21-01-11
257,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Strong ability to define and document business and functional requirements, business process maps (""As-Is/To be"") flows and diagrams.",none,20:51:17,21-01-11
258,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year",Data analyst responsibilities include conducting full lifecycle analysis of the large volumes of financial and operating data that are collected across our…,Urgently hiring,20:51:17,21-01-11
259,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"4+ years of Power BI experience.
5+ years Business Intelligence / Analytics experience.
Experience in all phases of IT project implementation & different…",none,20:51:17,21-01-11
260,Business Analyst - West,Udaan,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea757000db1851b&fccid=3c4b50d9382a2eea&vjs=3,3.9,None,"EClerx employs 9,500-plus people across its global sites in the US, UK, India, Italy, Germany, Singapore, and Thailand.
Data quality check and correction.",none,20:51:18,21-01-11
261,IT-Business System Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/IT-Business-System-Analyst-d256832e17c047a2?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹6,00,000 - ₹8,00,000 a year","Ability to multi-task and manage competing priorities/workflows.
Researching and implementing new solutions that help solve business problems.",none,20:51:18,21-01-11
262,Business Analyst,Ambab,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=01bfbac2fed21933&fccid=c6bf9d739125dc16&vjs=3,None,None,"Proven problem-solving skills with capacity to multi-task, deliver high quality results and respond quickly and effectively to requests.",none,20:51:18,21-01-11
263,Business Analyst,Growisto,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=189928ab8837b577&fccid=70b39beac603df99&vjs=3,None,None,": Role : Application Developer Role Description : Design, build and configure applications to meet business process and application requirements.",none,20:51:18,21-01-11
264,Business Analyst Manager - IT,Procter & Gamble,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7ad69479599e52ce&fccid=2da0dedf6df97194&vjs=3,4.2,None,"Must have Skills : Individual Life Insurance, Personal Insurance Good to Have Skills : Job Requirements : 1 Responsibilities a Life and annuities background b…",none,20:51:18,21-01-11
265,BIU Business Analyst,Axis Bank,"Mumbai, Maharashtra",https://in.indeed.com/company/Axis-Bank/jobs/Biu-Business-Analyst-24a2db91f965005a?fccid=ebe92c1659c8371b&vjs=3,4.0,"₹5,00,000 a year",We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success.,none,20:51:18,21-01-11
266,Business Analyst - Data Science,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=251aab5f0777f30e&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Do QA with test cases on our Apps.
A/B Test our website as a lead generation engine.
A/B test our email and text message marketing campaigns.",none,20:51:18,21-01-11
267,Business Analyst,Idealake Information Technologies,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=72746c7f14a5f712&fccid=6474a770275d33e0&vjs=3,3.4,None,"Must have Skills : Individual Life Insurance, Personal Insurance Good to Have Skills : Job Requirements : 1 Responsibilities a Life and annuities background b…",none,20:51:19,21-01-11
268,Analyst - Business Consulting Risk - CHS - Risk Assurance -...,EY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4bc4676a57e8d7d7&fccid=1544766d4c2915b0&vjs=3,4.0,None,"You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services necessary for AI applications that…",none,20:51:19,21-01-11
269,Business Analyst,UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=04c9204acf221c9a&fccid=1c76c3a36f6c7557&vjs=3,3.9,None,"If you do not hear from us in the next 5 business days, we regret to inform you that your application for this position was unsuccessful.",none,20:51:19,21-01-11
270,Business Analyst I,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c72f8910eece0d31&fccid=aaf3b433897ea465&vjs=3,3.9,None,"5-10yrs Business Analyst /Data Analyst with experience in accounting domain .
Understanding of accounting - General Ledger, Basic journal entries, Charts of…",none,20:51:19,21-01-11
271,Business Analyst,Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=24dabee9aad56b1c&fccid=eaabf52abd909bd5&vjs=3,3.9,None,"Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe.",none,20:51:19,21-01-11
272,Business Analyst - Speech Analytics,Sitel,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbf3cd77cac827bd&fccid=9f7d74606c717e15&vjs=3,3.5,None,"Experienced in understanding the business needs, translate business requirements into analytical solutions.
Maintenance of existing reports and dashboards for…",none,20:51:19,21-01-11
273,Business Analyst | 2 - 5 years | Thane,Applied Cloud Computing Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Applied-Cloud-Computing/jobs/Business-Analyst-d28221adf441db8a?fccid=4262594b1cad1667&vjs=3,None,"₹2,50,000 a year","Must have Skills : Individual Life Insurance, Personal Insurance Good to Have Skills : Job Requirements : 1 Responsibilities a Life and annuities background b…",Urgently hiring,20:51:20,21-01-11
274,Business Data Analyst / Business Systems Analyst,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=de3b5c23bb95f4ca&fccid=aaf3b433897ea465&vjs=3,3.9,None,"Must have Skills : Individual Life Insurance, Personal Insurance Good to Have Skills : Job Requirements : 1 Responsibilities a Life and annuities background b…",none,20:51:20,21-01-11
